#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1], b_w_RS_S_x [rad s^-1], b_w_RS_S_y [rad s^-1], b_w_RS_S_z [rad s^-1], b_a_RS_S_x [m s^-2], b_a_RS_S_y [m s^-2], b_a_RS_S_z [m s^-2]
1680262359406622400,3.45212,-0.0182414,1.76074,0.999769,-0.0205377,0.00629147,3.81485e-05,2.08429,-0.0103015,-0.0211556,0.000805512,0.000833568,-1.60328e-05,-3.46914,0.00297498,0.591524
1680262359521543700,3.6723,-0.0193754,1.75916,0.999776,-0.0205459,0.00506305,5.42386e-05,1.68684,-0.00876416,-0.00317742,-0.000554004,-0.036856,-7.93259e-05,-2.9153,0.0288272,0.253823
1680262359636576500,3.85783,-0.0202923,1.75914,0.999785,-0.0205449,0.00281524,9.29265e-05,1.65268,-0.00808698,0.00933459,-0.000870841,-0.0676901,-0.000593444,2.60533,-0.0577041,0.88059
1680262359739114600,4.03945,-0.0211528,1.75912,0.999789,-0.020547,0.000545093,0.000103795,1.92077,-0.00867082,0.000581417,0.000443145,-0.0429253,-0.000844433,2.87107,0.000680664,0.0299072
1680262359854438300,4.28472,-0.0222975,1.75893,0.99979,-0.0203546,-0.00221966,0.000102427,2.30474,-0.00741637,-0.00271826,0.0107087,-0.0509187,-0.00106541,3.57859,0.041373,0.0666044
1680262359954720000,4.52217,-0.0233198,1.75848,0.999794,-0.0197929,-0.0044486,0.000122557,2.47263,-0.0061307,0.00519207,0.0175501,-0.0539044,0.000123511,0.287598,0.0011635,1.17776
1680262360064999300,4.78625,-0.0243526,1.75982,0.999806,-0.0191619,-0.00466049,0.000145996,2.35433,-0.00526866,0.0170561,0.0096404,0.00852139,0.000246334,-1.61348,-0.00881472,-0.378049
1680262360171444100,5.03077,-0.0252506,1.76196,0.999817,-0.0187481,-0.00390377,0.000168593,2.11749,-0.00683139,0.0166399,0.000932326,0.0193727,0.00157294,-2.66635,-0.0443971,0.0701625
1680262360287678500,5.25955,-0.0261572,1.76369,0.999822,-0.0186282,-0.00296747,0.000212064,1.83422,-0.0058211,0.0105487,0.00625641,0.0129407,0.000393636,-2.6561,0.0478458,0.0804289
1680262360398609800,5.44204,-0.0269148,1.76477,0.999829,-0.0183038,-0.00247209,0.000220807,1.58204,-0.00502511,0.00559027,0.00490804,0.00668302,0.000295068,-2.05929,-0.00873369,-0.890335
1680262360503900700,5.59886,-0.0276128,1.76555,0.999836,-0.0179865,-0.00213478,0.000231752,1.35334,-0.00436853,0.00987739,0.00782064,0.00768069,0.000419348,-2.75259,-0.00743788,0.486297
1680262360612726500,5.7341,-0.0282711,1.76623,0.999841,-0.0177173,-0.00188132,0.000243527,1.15002,-0.00418551,0.00319093,0.00373826,0.00371936,0.000258971,-1.60456,-0.0112188,-0.588364
